Mol,Smiles
<rdkit.Chem.rdchem.Mol object at 0x00000219AC95E960>,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF93D5B0>,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95E8F0>,C[C@H](c1ccccc1)[C@@H](C[C@@H](O)CN1CCN(Cc2ccc3c(c2)OCO3)C[C@@H]1C(=O)NC(C)(C)C)C(=O)N[C@@H]1c2ccccc2C[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF975540>,C[C@](O)(CBr)CCO[P@@](=O)(O)OP(=O)(O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97D690>,O=C(O)[C@@]1(O)C=C[C@H](O)[C@@H](O)C1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF981690>,C[Se](=O)CC[C@@H](N)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F4A50>,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F7F40>,CNC1Cc2ccccc2C(c2ccccc2)C1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95DD20>,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO[P@@](=O)(O)OP(=O)(O)O[P@](=O)(O)OC[C@@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E1AF0>,CCCCCCCCNC(=S)N1[C@@H]2OC[C@H]1[C@@H](O)[C@H](O)[C@H]2O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF93D9A0>,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3.[I-].[I-]
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AB8B0>,Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F09E0>,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF98B680>,CC1=C(CCO[P@@](=O)(O)OP(=O)(O)O)S[C@]2([C@@H](C)O)Nc3nc(C)ncc3CN12
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9EDEE0>,CC[C@H]1COC(c2ccc(OCCCCCCCc3cc(C)no3)cc2)=N1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF93FE60>,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95D380>,O=S(=O)(O)O[C@H]1[C@H](OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@H]1OS(=O)(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F13F0>,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97F840>,CC(C)c1cc(Sc2ccc(O)c(C(C)C)c2)ccc1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9EA0A0>,C[C@@H]1C[C@H](C)CN(C(=O)c2cc(Br)ccc2N)C1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97EF80>,CO[C@H]1CCCC[C@@H](c2ccccc2)OC(=O)[C@@H](C)[C@]2(O)O[C@H]([C@H](C)[C@@H](O)[C@@H]2OC)[C@@H](C)/C=C/[C@H]1OC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF98EE30>,CCCN(C)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B6E30>,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1
