Mol,Smiles
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9BF6F0>,CS[C@H]1[C@H](O)[C@H](O)[C@H](O)[C@@H]1NCc1ccccc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9CB3E0>,C[C@](O)(COc1ccc(Cl)c(F)c1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D4510>,CCC(CC)C(=O)Nc1cc(C(=O)O)ccc1NC(C)=O
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6FA810>,CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-]
<rdkit.Chem.rdchem.Mol object at 0x00000219AF949540>,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF964B30>,C[C@@H](/C=C/C(=O)C=O)NC(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AC95EDC0>,C[C@@H]1NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CCN=C(N)N2)NC(=O)/C(=C\NC(N)=O)NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC1=O.NCCC[C@H](N)CC(=O)NC[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CCN=C(N)N2)NC(=O)/C(=C\NC(N)=O)NC1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9EC350>,Cc1cn([C@@H]2C[C@@H](O)[C@H](CN3CCCC3)O2)c(=O)[nH]c1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AC95D4D0>,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF944200>,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF94D310>,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9530D0>,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97EB90>,COc1ccc(-c2c(S(C)(O)O)ccc(C(=O)c3cnn(C(C)(C)C)c3O)c2C)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF98B4C0>,O=C(O)[C@@H](O)c1ccccc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF98BD10>,CCCCCCCCCCCCCCCC=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B6420>,CO[C@@H]1[C@H](OC(=O)N[C@@H](C(N)=O)C(C)C)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9BBE60>,N=C(N)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)nc2c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9CB530>,C[C@](O)(COc1c(F)c(F)c(F)c(F)c1F)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DB8B0>,COc1ccc2ccccc2c1/C=N/NC(=O)c1ccc(O)c(O)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9EB290>,OC1(c2ccc(Cl)cc2)CCN(CCCC2(c3ccc(F)cc3)SCCS2)CC1
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F5850>,C=CCc1ccc(O)c(OC)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF981230>,O=CN(O)CCCP(=O)(O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9CD1C0>,Nc1[nH+]c(Nc2cccc(Cl)c2)sc1C(=O)c1ccc(F)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95CDD0>,CC(C)(CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(O)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF99D2A0>,O=c1ccn([C@@H]2C[C@H](F)[C@@H](CO[P@@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D8C80>,CCCCCCCCC[C@@H](O)CC(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E1230>,CN(C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CCNCC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E3920>,O=C(O/N=C/c1ccc(O)c(F)c1)C1CCCCC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AFD10>,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97BBC0>,CS[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)O[C@@H]1CO
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C0AC0>,O=C(O)COc1cc(Cl)ccc1C(=O)NCc1ccc(Br)cc1F
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D9D90>,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1cncc(C(N)=O)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF953290>,C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N
<rdkit.Chem.rdchem.Mol object at 0x00000219AF951CB0>,FC(F)(F)C(Cl)Br
<rdkit.Chem.rdchem.Mol object at 0x00000219AF973D80>,NCc1ccc(NC(=O)C(=O)O)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF976FF0>,C=CCN(C)CCCCCCOc1ccc2c(-c3ccc(Br)cc3)nsc2c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D0EB0>,NS(=O)(=O)c1nnc(-c2ccccc2Cl)s1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B0040>,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF950040>,CS(C)=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF965700>,Cc1c(-c2cc(Br)c(O)c(Br)c2)oc2ccc(O)cc2c1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF96BBC0>,O=C1Nc2ccccc2C1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF971310>,Nc1nc2c(ncn2[C@H]2O[C@@H]3CO[P@@](=O)(O)O[C@@H]3[C@@H]2O)c(=O)[nH]1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF975D20>,N/C(=N\C[C@H](N)C(=O)O)NO
<rdkit.Chem.rdchem.Mol object at 0x00000219AF98E5E0>,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@@H](O)[C@@H](O)[C@H](O)CO[P@@](=O)(O)O[P@](=O)(O)OC[C@@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@H]3O)c2cc1N(C)C
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B1CB0>,CCN(CC)CCOc1ccc(Cc2ccccc2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F1EE0>,Cl[223Ra]Cl
<rdkit.Chem.rdchem.Mol object at 0x00000219AF96E880>,C=CC(C)(C)c1cc2cc3c(cc2oc1=O)O[C@H](C(C)(C)O)C3
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C84A0>,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(-c3ccccc3C)nncc2c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DC900>,Cc1n[nH]cc1-c1ccc(CCN)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F6DC0>,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])nc2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF947140>,Cn1cc[nH]c1=S
<rdkit.Chem.rdchem.Mol object at 0x00000219AF94A420>,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97D150>,C[C@H](O)N[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)CO
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9BB7D0>,CCOC(=O)N[C@@H](CC(C)C)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D0890>,NCC1CCN(CC(=O)Nc2cccc3c2C(=O)c2c-3n[nH]c2C2CCCCC2)CC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF945FC0>,COc1ccc(OC)c(C(O)C(C)N)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97EE30>,CCOC(=O)NC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97FE60>,CSc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9A3920>,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](CO[P@@](=O)(O)OCC[NH3+])OC(=O)CCCCCCCCCCCCCCCCC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9CD930>,O=C(O)C[C@@H](Cc1ccccc1)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B11C0>,CC(=O)N(C)C1(c2ccccc2)CCN(CCC[C@]2(c3ccc(Cl)c(Cl)c3)CCCN(C(=O)c3ccccc3)C2)CC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9EA7A0>,Cc1cn([C@H]2C[C@H](O)[C@@H](CN3CCCCC3)O2)c(=O)[nH]c1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B5930>,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C5D90>,CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)OCc1ccccc1)[C@@H](C)CC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E9A80>,CC(=O)N[C@@H](Cc1cccc2ccccc12)[B-](O)(O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D1B60>,Oc1ccc2c(O)cccc2c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9A71B0>,COc1cc(OC)cc(C(=O)N[C@@H]2[C@@H](O)[C@H](CO)O[C@H]2n2cnc3c(N[C@@H]4CCCc5ccccc54)ncnc32)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B2260>,CCCCCC/C=C\CCCCCCCCCC(O)=N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)(O)O)[C@H](N=C(O)CC(=O)CCCCCCCCCCC)[C@@H](OCCCCCCCCCC)[C@@H]2O)O[C@H](COC)[C@@H](OP(=O)(O)O)[C@@H]1OCC[C@@H](CCCCCCC)OC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E0970>,O=[N+]([O-])c1cccc(/N=C2\N=CCC(c3cccc(Cn4cncn4)c3)=N2)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF94EB20>,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
<rdkit.Chem.rdchem.Mol object at 0x00000219AF955F50>,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF966500>,C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97D2A0>,O=c1ccn([C@@H]2O[C@@H](CO[P@@](=O)(O)O[P@](=O)(O)Oc3ccccc3)[C@H](O)[C@H]2O)c(=O)[nH]1
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F3F40>,CCC(C)(Oc1ccc(C2(c3cccc(OC(C)(CC)C(=O)O)c3)CCCCC2)cc1)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9492A0>,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B4C10>,CCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCC)ccc5n5c4c1n2[C@@H]1C[C@H](C(=O)OOC)[C@]5(C)O1)CNC3=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C6C70>,CS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C7CA0>,Cc1cc(S(=O)(=O)N[C@@H](C(=O)NO)C2CCOCC2)ccc1F
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9462D0>,c1ccc2[nH]c(-c3cscn3)nc2c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF949380>,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF956260>,CN[C@@H](C)[C@H](O)c1ccccc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF96F680>,Nc1nc2c(c(=O)[nH]1)CC=N2
<rdkit.Chem.rdchem.Mol object at 0x00000219AF983060>,C[C@H](C=O)Cc1csc(N)n1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9885F0>,CC(=O)N[C@@H](Cc1ccc(Oc2cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c2)cc1)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9A5770>,CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AEC70>,CO[C@H]1CC2=CC(=O)O[C@@H]([C@H](C)[C@@H](OC)C[C@H](OC)/C=C/[C@H](C)[C@@H](O)C[C@@H](OC)/C=C/[C@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@@H](C)CCC(=O)[C@H](C)[C@@H](C/C=C/N(C)C=O)OC)OC(=O)/C=C/C=C(/C)C1)[C@H]2O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AF920>,CCCC(=O)Nc1c(I)cc(I)c(/C=C(\CC)C(=O)O)c1I
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B0820>,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D0820>,CNCc1ccc(-c2cccnc2)o1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D0DD0>,CN1CCc2nc(C(=O)N[C@@H]3CCCC[C@H]3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DA180>,N=C(Cc1ccc(O)c(O)c1)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DDB60>,N#Cc1ccc(COc2ccc3cc(S(=O)(=O)N[C@H](CCC(=O)O)C(=O)O)ccc3c2)c(F)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E8890>,OCN(O)CCCc1ccccc1
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6FA110>,CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF952B20>,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AF760>,O=C1C=CC=C/C1=C/Nc1ccc(C(=O)O)cc1N/C=C1/C=CC=CC1=O.[Fe]
<rdkit.Chem.rdchem.Mol object at 0x00000219AF94BE60>,OC(CCN1CCCCC1)(c1ccccc1)C1CCCC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DF760>,O=C(O)CCN1C(=O)/C(=C/c2ccc(-c3ccc(Cl)cc3)o2)SC1=S
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97D8C0>,O=c1nc(O)ccn1[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)O)[C@@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF988430>,NCCCN1CCN(CCCNC(=O)c2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc([N+](=O)[O-])c2)CC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF992C00>,N[C@@H](Cc1ccc(I)cc1)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E6AB0>,CS(=O)(=O)Nc1cccc2cccnc12
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9EC2E0>,O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9684A0>,CC(C)(C)c1ccc(Sc2cccc3nc(N)nc(N)c23)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C8890>,C[C@](O)(c1ccc(C(=O)N(C2CC2)C2CCN(CC3(C(N)=O)CC3)CC2)cc1)C(F)(F)F
<rdkit.Chem.rdchem.Mol object at 0x00000219AC95D850>,CC=CC(=O)N(CC)c1ccccc1C
<rdkit.Chem.rdchem.Mol object at 0x00000219AF941F50>,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95AFF0>,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9811C0>,Nc1nc(F)nc2c1ncn2[C@H]1C[C@@H](O)[C@H](CO)O1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9A38B0>,O=C(CO)COP(=O)(O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C60A0>,O=CNc1ccc2[nH]c3cc(-c4ccccc4Cl)c4c(c3c2c1)C(=O)NC4=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF988E40>,NCCCCCCN
<rdkit.Chem.rdchem.Mol object at 0x00000219AF991D20>,COC1=CC(=O)c2c(c(COc3ccccc3)c(C)n2C)C1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9A6960>,O[As](O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B6C00>,CC=C1N=C(O)[C@H]2CSSCC/C=C\[C@H](CC(O)=N[C@H](C(C)C)C(O)=N2)OC(=O)[C@H](C(C)C)N=C1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9CA500>,c1cc(Nc2cc(C3CC3)n[nH]2)nc(Nc2ccc3[nH]cnc3c2)n1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D3680>,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cccc(F)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D7A70>,Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OC[C@@H](O)CN(C)C)cc2)n1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9CF0D0>,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)s1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF967920>,CC(C)(CO)[C@@H](O)C(=O)[O-]
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DA0A0>,O=C(Nc1c(F)cc(-c2cccc(OC(F)(F)F)c2)cc1F)c1ccsc1C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F4120>,CCCNC(C)C(O)=Nc1c(C)csc1C(=O)OC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF94D850>,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF950270>,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95F7D0>,COc1nccnc1C(C)C
<rdkit.Chem.rdchem.Mol object at 0x00000219AF967290>,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF96DF50>,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO[W](=O)(O)O[W](=O)(O)O)[C@H](O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97DBD0>,CC(=O)N1C[C@@H](O)C[C@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9825E0>,CC(C)C[C@H](CS)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF997E60>,CCCCC[C@@H](/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H]2C[C@H]1OO2)OO
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AAD50>,CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](NC(C)=O)[C@H](O[C@H]3[C@H](O)[C@H]4N=C(N(C)C)O[C@H]4[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9ABF40>,COC(Cc1ccccc1)[C@@H](C)C[C@H](C)CC[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)[C@H](C(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)CC/C(C(=O)O)=N\C(=O)[C@H]1C
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9BCC80>,C[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)[C@@H](C)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9BEFF0>,CCc1nc(N)nc(N)c1-c1ccc2c3ccccc3n(CCCOC)c2c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9CBD80>,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F0970>,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F57E0>,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D3F40>,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)Cc1ccccc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DB290>,COCc1cc(O)cc2c1O[C@@H](c1ccc(O)cc1)[C@H]1CCC[C@@H]21
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F5BD0>,COc1cc(C2c3cc4c(cc3C(O)C(CO)C2C(=O)O)OCO4)cc(OC)c1OC.COc1cc(C2c3cc4c(cc3C(O)C(CO)C2C(=O)O)OCO4)cc(OC)c1OC.COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC.COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF945AF0>,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9490E0>,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E75A0>,N=C(N)NC(=N)Nc1cc(C(F)(F)F)ccc1Cl
<rdkit.Chem.rdchem.Mol object at 0x00000219AF977A00>,Nc1nc(=O)c2[nH]cc(Cc3cccnc3)c2[nH]1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B4820>,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C7680>,CCOc1nc(C(=O)NCc2cc(OC)ccc2OC)ccc1C#N
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E7060>,COc1cc(N)c(OC)c(CCOC(=O)c2cc(Cl)c(O)cc2O)c1OC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E9AF0>,CC(=O)N[C@@H](Cc1cccc2ccccc12)[B-](O)(O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F6420>,CC(=O)[C@@]1(C)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
<rdkit.Chem.rdchem.Mol object at 0x00000219AC95D620>,N[C@@H]1CONC1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF982E30>,Nc1nccc(-c2cc(Cl)sc2Cl)n1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF99D9A0>,O=[N+]([O-])c1ccc(O[C@@H]2O[C@@H](CO)[C@@H](O[C@@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@H]2F)c([N+](=O)[O-])c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D0B30>,C[C@@H]1CN(CC2(C(N)=O)CC2)CCN1S(=O)(=O)c1ccc([C@](C)(O)C(F)(F)F)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E4B30>,C=C1CS[C@H]([C@H](NC(=O)/C(=N\OC)c2csc(N)n2)C(=O)O)N=C1C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E5540>,O=C(O)N1CCC(Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF93D700>,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF94D460>,COC(=O)CCC(=O)CN
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AE9D0>,O=[N+]([O-])c1ccc([C@@H]2CO2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9CDE70>,CCCC[C@@H](CC)COS(=O)(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9CF7D0>,C[C@]1(C(=O)O)OC[C@@H](OC(=O)N2CCN(C(=O)O[C@H]3CO[C@](C)(C(=O)O)OC3)CC2)CO1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF942C70>,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9537D0>,CNC1(c2ccccc2Cl)CCCCC1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C0C80>,Oc1ccc(-c2cc3cc(O)ccc3o2)cc1
