zinc_id,smiles
ZINC000005821089,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CC[C@]3(C)O[C@@H]3[C@@H]21
ZINC000005821085,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CC[C@]3(C)O[C@@H]3[C@H]21
ZINC000000000440,O[C@]1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21
ZINC000000001195,Cc1c(Cl)cccc1Nc1ncccc1C(=O)O
ZINC000021981303,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
ZINC000003830950,CC[C@H](Cc1c(I)cc(I)c(N)c1I)C(=O)O
ZINC000003830283,CC(C)COC[C@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1
ZINC000003872492,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1C[C@H](O)[C@@H]2O
ZINC000003873366,C[C@]12Cc3cn[nH]c3C[C@@H]1CC[C@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(C)O
ZINC000000896887,CN1C(=O)C[C@H](c2ccccc2)C1=O
ZINC000000896988,COC(F)(F)C(Cl)Cl
ZINC000000897236,NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H](C(Cl)Cl)NS2(=O)=O
ZINC000000897263,C[N+]1(C)CCN(C[C@](O)(c2ccccc2)C2CCCCC2)CC1
ZINC000000900543,C1=Cc2cccc(OC[C@H]3CNCCO3)c2C1
ZINC000000900630,c1ccc2c(c1)OC[C@@H](C1=NCCN1)O2
ZINC000000896468,CN1C(=O)CCS(=O)(=O)[C@@H]1c1ccc(Cl)cc1
ZINC000000896650,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21
ZINC000000901808,NC[C@@H](O)CC(=O)O
ZINC000000000865,CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1
ZINC000000002645,Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1
ZINC000000897225,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
ZINC000000896648,CC[C@@]1(c2ccccc2)NC(=O)N(C)C1=O
ZINC000000000855,CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1
ZINC000000000250,CCc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1
ZINC000000000500,COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1
ZINC000000000504,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1
ZINC000003861134,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@@H]6CC(=O)N2[C@@H]1[C@H]6[C@H]5C[C@H]43
ZINC000003871723,c1ccc(-c2ccc([C@@H](c3ccccc3)n3ccnc3)cc2)cc1
ZINC000003872178,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1
ZINC000003872945,Clc1ccc([C@H](Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1
ZINC000003873646,O=S(=O)(O)C[C@H](S)CS
ZINC000003830195,CCC(=O)O[C@@]1(c2ccccc2)CCN(C)C[C@@H]1C
