CID,Isomeric SMILES
685202,CC1=CC(=NC(=N1)SCC2=CC=C(C=C2)Br)C
1091016,CC(C)(C)NC(=O)C1=CC2=CC(=CC(=C2OC1=O)OC)[N+](=O)[O-]
24981937,CC(C)CN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)COC(=O)C3=NC=CN=C3
5196834,COC1=CC=CC=C1NC(=O)CC(C2=CC=C(C=C2)F)C3=CC=CO3
3903218,CCN(CC)C(=O)C1=CSC(=N1)NC2=CC=CC3=CC=CC=C32
3211849,CC(C)CCN(C(C1=CN=CC=C1)C(=O)NC2CCCCC2)C(=O)CNC(=O)C3=CC=CO3
135439742,CC1=CC(=C(C=C1)OCC(=O)N/N=C\C2=CC=C(C=C2)O)[N+](=O)[O-]
2263393,CC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)C(=O)OCCOC
2998735,CCOC(=O)C1=CC=CC=C1NC(=O)COC(=O)C2=COCCO2
4416918,C1CCC(CC1)NC(=O)N2CCN(CC2)C3=CC=C(C=C3)Cl
2874064,CC1=CC=C(C=C1)C(=O)N/C(=C\C2=CC=CC=C2)/C(=O)NCC3=CN=CC=C3
5033670,C1C2=C(C(=CC(=C2)[N+](=O)[O-])CN3C(=O)C(NC3=O)CC4=CC=CC=C4)OCO1
5765852,CC1(CC2=CC=CC=C2/C(=C/C(=O)C3=CC=CO3)/N1C)C
3211599,COC1=CC=CC=C1N(C(C2=CC=NC=C2)C(=O)NC3CCCC3)C(=O)CNC(=O)C4=CC=CO4
2999628,CC1=CC(=C(N1CC2=CC=CO2)C)C(=O)CN3C(=O)C(NC3=O)(C4=CC=CC=C4)C5=CC=CC=C5
3177940,CCC1=NN=C(S1)NC(=O)CSC2=NC3=CC=CC=C3C(=O)N2CCCOC
4567653,CC(CC1=CC=CS1)NC(=S)NC2=CC=C(C=C2)OC
4117518,C#CCCCC1=NC2=CC=CC=C2C(=O)N1N
1488969,C1=CC=C(C=C1)/C=C/C(=O)OCC2=CN=CS2
6015935,CC(C)(C)NC(=O)/C(=C\C1=CC=C(C=C1)Br)/NC(=O)C2=CC=CS2
4886416,CC1=C(C=CC=C1Cl)NC(=O)CC(CC2=CC=CC=C2)C(=O)O
2444871,C1=CC=C(C=C1)S(=O)(=O)NC2=CC3=C(C=C2)C=NN3
16190721,CC(C)CN1CCN(CC1CCO)CC2=CC=C(C=C2)C(F)(F)F
649147,CC(C)C1=NN=C(S1)NC(=O)CN(C)S(=O)(=O)C2=CC3=C(C=C2)OCCO3
900757,CC1=CC=C(C=C1)NC(=O)C2=CC3=C(C=C2)N(N=N3)C
2961706,CC1=CC(=NO1)NC(=O)C2=CC=C(C=C2)NC(=O)C(C)OC3=CC=CC=C3
2897606,C1CC2CC1CC2NC(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-]
2957397,CCC1CCCCN1C(=S)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CC=N3
28996,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3CC2
1481244,COC1=CC=CC(=C1)C(=O)NNC(=O)C2=CC=CC=C2N3C=CC=C3
16191043,CCN1CCN([C@H](C1=O)C)C(=O)CCC2=NN=C(O2)CCCCC3=CC=CC=C3
2965132,CCN(CCO)C(=O)CC(C1=CC=CC=C1)C2=C(C=CC(=C2)Br)O
1201148,C1=CN=CC=C1/C=C/2\C(=O)N(C(=S)S2)CCC(=O)O
3730002,C1C(N(N=C1C2=C(C3=C(C=CC(=C3)Cl)NC2=O)C4=CC=CC=C4)C(=O)CCC(=O)O)C5=CC=CS5
2850246,CC1=CC=CC=C1N=C(C2=NON=C2N)NO
9566183,CCOC(=O)CC1=CSC(=N1)N/N=C/C2=CC=C(C=C2)Cl
5389778,CC(C)COC(=O)C1[C@H]2C=C[C@@]3([C@@H]1C(=O)N(C3)CC4=CC=CS4)O2
1744671,C=CCNC(=O)C1=CC(=C(C=C1)[N+](=O)[O-])Cl
3243571,COCCCNC(=O)CSC1=NC2=CC=CC=C2C(=O)N1CCCC(=O)NCC3CCCO3
3827809,CCCCN1C(=C(C(=O)NC1=O)C(=NCC2=CC(=CC(=C2)OC)OC)CC)O
1385726,CCOC(=O)C1=C(OC2=CC(=C(C=C21)O)Br)C3=CC=C(C=C3)OC
24979551,CCOC1=CC=C(C=C1)S(=O)(=O)NCCC(=O)NCCCSC2=CC=CC=C2
4269636,CC1=NC(=NN1C2=C(C=CC(=C2)Cl)Cl)C(=O)N(C)C
4296052,C1=CN(C=C1)C2=C(SC=C2)C3=NN4C(=CC(=NC4=C3)C(F)(F)F)C(F)(F)F
6410986,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=C(C=C3)F
20903809,CCOC(=O)C(CC1=CC=CC=C1)NC(=O)CCC2=NN=C3N2N=C(C=C3)N4CCCC4
16478662,CCC(C)C(C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)N)NC(=O)C2CCC(CC2)C
701437,CN(C)C(=O)COC1=CC2=C(C=C1)C=CC(=O)O2
2813075,CCC1=CC=C(C=C1)C(=O)NNC2=CC(=CC(=C2)Cl)Cl
16231789,CC(C)CN1C(=C(C(=O)NC1=O)N(CCOC)C(=O)C2=C(C3=CC=CC=C3O2)COC)N
24981218,CN(CC(=O)NC1=C(C=CC=C1Cl)Cl)C(=O)C2CCN(CC2)C(=O)NC3=CC=CC=C3
2172589,COCCCNC(=S)NC1=CC=C(C=C1)CC(=O)O
776676,CC1=C(C=C(C=C1)NC2=NC(=CC(=N2)C)C)[N+](=O)[O-]
3367701,CCCOC(=O)C1C2CC(C1C(=O)OCC(=O)C3=CC=CC=C3)C=C2
2793577,CC1CCC2=C(C1)SC3=C2C(=O)N(C=N3)CCO
3989178,C1CN2C(N(C(=O)N2C1)C3=CC(=CC=C3)Cl)C4=CN=CC=C4
1855778,CC1=C(C2=NC(=C(C(=O)N2N1)Cl)C)C3=CC=CC=C3
825120,CC1=NN=C(O1)C(=O)C2=C(C3=CC=CC=C3N(C2=O)C)OC(=O)C
3243229,CC1CCCCC1NC(=O)C2C34C=CC(O3)C(C4C(=O)N2C(C)C)C(=O)NC5=CC(=CC=C5)OC
2456732,CC(C)N(C1=CC=CC=C1)C(=O)CN(C2=CC=CC=C2OC)S(=O)(=O)C3=CC=CS3
135677069,CC1=CC=C(O1)C(=O)OCC2=NC3=C(C(=O)N2)SC=C3
6465188,CC1=CC=CC=C1CN2CCN(CC2)CC(=O)NCC3=CC=CC=C3
