ID,Mol,Smiles,Source
CHEMBL1773595,<rdkit.Chem.rdchem.Mol object at 0x000002210940F300>,CC(=O)Nc1nc2ccc(-c3ccnc(Sc4cccc(C)c4)n3)cc2s1,mtor
CHEMBL1773560,<rdkit.Chem.rdchem.Mol object at 0x000002210940F370>,CC(=O)Nc1nc2ccc(-c3ccnc(OCc4cccc(F)c4)n3)cc2s1,mtor
CHEMBL1773570,<rdkit.Chem.rdchem.Mol object at 0x000002210940F3E0>,CC(=O)Nc1nc2ccc(-c3ccnc(OCCN4CCOCC4)n3)cc2s1,mtor
CHEMBL1762789,<rdkit.Chem.rdchem.Mol object at 0x000002210940F450>,Cc1nc(N)nc(-n2c(Nc3ccccc3)nc3ccccc32)n1,mtor
CHEMBL1760168,<rdkit.Chem.rdchem.Mol object at 0x000002210940F4C0>,CNc1nc(C)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,mtor
CHEMBL1615182,<rdkit.Chem.rdchem.Mol object at 0x000002210940F530>,N#CCNc1ncnc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,mtor
CHEMBL591358,<rdkit.Chem.rdchem.Mol object at 0x000002210940F5A0>,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)N(C)C)cc4)cc3)nc21,mtor
CHEMBL1081312,<rdkit.Chem.rdchem.Mol object at 0x000002210940F610>,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,mtor
CHEMBL1808989,<rdkit.Chem.rdchem.Mol object at 0x000002210940F680>,O=C(Nc1ccc(C(=O)NCCN2CCCCC2)cc1)Nc1ccc(-c2nc(O[C@H]3CCOC3)nc(N3CCOCC3)n2)cc1,mtor
CHEMBL1808992,<rdkit.Chem.rdchem.Mol object at 0x000002210940F6F0>,CN1C2CCC1CC(Oc1nc(-c3ccc(NC(=O)Nc4ccc(C(N)=O)cc4)cc3)nc(N3CCOCC3)n1)C2,mtor
CHEMBL592445,<rdkit.Chem.rdchem.Mol object at 0x000002210940F760>,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,mtor
CHEMBL1762788,<rdkit.Chem.rdchem.Mol object at 0x000002210940F7D0>,Cc1nc(N)nc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,mtor
CHEMBL601073,<rdkit.Chem.rdchem.Mol object at 0x000002210940F840>,O=C(Nc1ccc(-c2nc(N3CCOCC3)c3nnn(C4CC4)c3n2)cc1)Nc1cccs1,mtor
CHEMBL1615183,<rdkit.Chem.rdchem.Mol object at 0x000002210940F8B0>,Cc1nc(N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,mtor
CHEMBL1760164,<rdkit.Chem.rdchem.Mol object at 0x000002210940F920>,Cc1nc(N)nc(-n2c(Nc3ccnn3C)nc3ccccc32)n1,mtor
CHEMBL1762790,<rdkit.Chem.rdchem.Mol object at 0x000002210940F990>,Cc1nc(N)nc(-n2c(Nc3cc(O)cc(O)c3)nc3ccccc32)n1,mtor
CHEMBL1760166,<rdkit.Chem.rdchem.Mol object at 0x000002210940FA00>,Cc1nc(N)nc(-n2c(Nc3nc[nH]n3)nc3ccccc32)n1,mtor
